Date,Hour,Temperature,Humidity,WindSpeed,Visibility,DewPoint,SolarRadiation,Rainfall,Snowfall,Seasons,Holiday,FunctioningDay,Rented Bike Count
2023-01-01,0,-5.4,67.1,3.15,1824,-12.5,0.0,0.0,0.0,Winter,Holiday,No,11
2023-01-01,1,-7.2,64.8,1.26,1885,-11.0,0.0,0.0,0.0,Winter,Holiday,Yes,83
2023-01-01,2,-2.5,80.6,1.6,1476,-9.3,0.0,0.0,3.17,Winter,Holiday,Yes,56
2023-01-01,3,-0.9,84.1,2.75,1551,-2.3,0.0,0.0,0.0,Winter,Holiday,Yes,78
2023-01-01,4,-5.4,85.9,0.55,1636,-8.5,0.0,0.0,0.0,Winter,Holiday,Yes,91
2023-01-01,5,-2.8,53.1,1.0,1850,-4.4,0.0,0.0,0.0,Winter,Holiday,Yes,67
2023-01-01,6,1.2,98.0,3.61,1337,-0.0,0.0,0.0,0.0,Winter,Holiday,Yes,140
2023-01-01,7,1.3,82.1,2.54,1722,-6.2,0.412,0.0,0.0,Winter,Holiday,Yes,182
2023-01-01,8,2.5,63.2,1.14,1915,-3.5,0.915,0.0,0.0,Winter,Holiday,Yes,251
2023-01-01,9,1.2,51.7,1.61,1829,-4.1,0.991,0.0,0.0,Winter,Holiday,Yes,160
2023-01-01,10,4.7,62.3,0.8,1885,0.0,1.134,0.0,0.0,Winter,Holiday,Yes,115
2023-01-01,11,4.2,51.0,1.07,2000,-0.8,1.807,0.0,0.0,Winter,Holiday,Yes,93
2023-01-01,12,2.2,41.2,2.03,2000,-3.3,1.501,0.0,0.0,Winter,Holiday,Yes,96
2023-01-01,13,3.4,40.2,1.07,1927,-3.4,1.33,0.0,0.0,Winter,Holiday,Yes,84
2023-01-01,14,1.0,31.0,2.26,1888,-4.2,1.37,0.0,0.0,Winter,Holiday,Yes,53
2023-01-01,15,-2.9,34.3,0.42,2000,-9.2,1.006,0.0,0.0,Winter,Holiday,Yes,88
2023-01-01,16,-1.8,37.4,2.01,2000,-4.7,0.72,0.0,0.0,Winter,Holiday,Yes,194
2023-01-01,17,-5.7,35.1,0.61,2000,-13.5,0.538,0.0,2.14,Winter,Holiday,Yes,219
2023-01-01,18,-3.2,37.7,1.23,1978,-4.4,0.0,0.0,0.0,Winter,Holiday,Yes,252
2023-01-01,19,-6.0,53.2,0.76,2000,-9.7,0.0,0.0,0.0,Winter,Holiday,Yes,212
2023-01-01,20,-6.9,28.9,2.02,2000,-14.1,0.0,0.0,0.0,Winter,Holiday,Yes,171
2023-01-01,21,-8.3,43.1,0.46,1688,-10.6,0.0,0.0,0.0,Winter,Holiday,Yes,101
2023-01-01,22,-4.5,57.9,2.28,1955,-6.5,0.0,0.0,0.0,Winter,Holiday,Yes,129
2023-01-01,23,-7.0,56.7,1.37,1842,-10.5,0.0,3.68,0.0,Winter,Holiday,Yes,112
2023-01-02,0,-6.9,65.7,1.15,1641,-10.9,0.0,0.0,0.0,Winter,No Holiday,Yes,75
2023-01-02,1,-5.8,87.3,0.85,1593,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,106
2023-01-02,2,-3.0,76.3,0.98,1723,-9.8,0.0,0.0,0.0,Winter,No Holiday,Yes,82
2023-01-02,3,-2.0,61.4,3.1,1686,-6.3,0.0,0.0,0.0,Winter,No Holiday,Yes,109
2023-01-02,4,-0.6,75.6,0.83,1659,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,91
2023-01-02,5,0.7,78.9,3.12,1606,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,97
2023-01-02,6,5.2,75.6,3.8,1778,-1.9,0.0,0.0,0.0,Winter,No Holiday,Yes,172
2023-01-02,7,1.1,76.3,1.13,1630,-1.6,0.36,0.0,0.0,Winter,No Holiday,Yes,173
2023-01-02,8,1.6,69.9,0.36,1500,-2.9,0.729,0.0,0.0,Winter,No Holiday,Yes,233
2023-01-02,9,1.3,57.5,2.62,1762,0.1,1.011,0.0,0.0,Winter,No Holiday,Yes,202
2023-01-02,10,4.2,40.5,2.6,1833,3.2,1.595,0.0,0.0,Winter,No Holiday,Yes,177
2023-01-02,11,4.9,41.6,3.15,1779,-1.0,1.488,0.0,0.0,Winter,No Holiday,Yes,130
2023-01-02,12,1.8,34.1,1.3,2000,-0.0,1.62,0.0,0.0,Winter,No Holiday,Yes,100
2023-01-02,13,-0.5,32.7,1.72,2000,-5.4,1.418,0.0,0.0,Winter,No Holiday,Yes,120
2023-01-02,14,-1.6,39.1,0.97,1842,-7.5,1.391,0.85,0.0,Winter,No Holiday,Yes,122
2023-01-02,15,0.1,34.3,0.94,1840,-1.1,1.146,0.0,0.0,Winter,No Holiday,Yes,155
2023-01-02,16,-1.0,38.4,1.66,1960,-5.2,0.683,0.0,0.0,Winter,No Holiday,Yes,158
2023-01-02,17,-2.7,27.8,2.77,1885,-8.5,0.491,0.0,0.0,Winter,No Holiday,Yes,257
2023-01-02,18,-6.3,49.9,2.37,1850,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,304
2023-01-02,19,-5.4,46.0,1.42,1921,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,198
2023-01-02,20,-6.3,46.0,2.93,1952,-14.1,0.0,0.0,0.0,Winter,No Holiday,Yes,153
2023-01-02,21,-6.5,57.1,0.47,1867,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,180
2023-01-02,22,-5.2,50.9,5.9,1772,-10.8,0.0,0.0,0.0,Winter,No Holiday,Yes,117
2023-01-02,23,-6.2,42.9,0.52,1946,-10.0,0.0,0.0,0.0,Winter,No Holiday,Yes,81
2023-01-03,0,-4.7,63.6,1.33,1937,-10.6,0.0,0.0,0.0,Winter,No Holiday,Yes,63
2023-01-03,1,-5.0,81.9,1.64,1352,-11.7,0.0,1.07,0.0,Winter,No Holiday,Yes,73
2023-01-03,2,-3.4,78.6,1.69,1693,-6.6,0.0,0.0,0.0,Winter,No Holiday,Yes,42
2023-01-03,3,-1.5,78.3,2.73,1500,-9.5,0.0,0.0,0.0,Winter,No Holiday,Yes,103
2023-01-03,4,-4.4,71.4,0.69,1891,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes,121
2023-01-03,5,-0.8,58.8,1.77,1916,-5.2,0.0,0.0,0.0,Winter,No Holiday,Yes,150
2023-01-03,6,0.0,89.5,2.24,1666,-6.0,0.0,0.0,0.82,Winter,No Holiday,Yes,96
2023-01-03,7,0.6,68.7,3.0,1620,-4.0,0.469,0.0,0.0,Winter,No Holiday,Yes,222
2023-01-03,8,2.0,60.9,1.12,1827,-4.3,0.946,0.0,0.0,Winter,No Holiday,Yes,236
2023-01-03,9,5.9,52.2,1.54,1911,-0.8,0.857,0.0,0.0,Winter,No Holiday,Yes,241
2023-01-03,10,1.3,64.9,1.39,1452,0.1,1.542,0.0,0.0,Winter,No Holiday,Yes,95
2023-01-03,11,4.6,54.9,2.16,1860,3.1,1.753,0.0,0.0,Winter,No Holiday,Yes,123
2023-01-03,12,-1.3,30.6,2.17,2000,-4.7,1.573,0.0,1.86,Winter,No Holiday,Yes,54
2023-01-03,13,0.5,47.2,1.09,1718,-6.9,1.744,0.0,0.0,Winter,No Holiday,Yes,70
2023-01-03,14,0.4,30.7,1.37,2000,-3.4,1.218,0.0,0.0,Winter,No Holiday,Yes,152
