Date,Hour,Temperature,Humidity,WindSpeed,Visibility,DewPoint,SolarRadiation,Rainfall,Snowfall,Seasons,Holiday,FunctioningDay,Rented Bike Count
2023-01-01,0,-5.4,67.1,3.15,1824.0,-12.5,0.0,3.809183510284485,0.0,Winter,Holiday,No,11.0
2023-01-01,1,-7.2,64.8,1.26,1885.0,-11.0,0.0,0.0,0.0,Winter,Holiday,Yes,83.0
2023-01-01,2,-2.5,80.6,1.6,1476.0,-9.3,0.0,0.0,3.17,Winter,Holiday,Yes,56.0
2023-01-01,3,-0.9,84.1,2.75,1551.0,-2.3,0.0,0.0,0.0,Winter,Holiday,Yes,78.0
2023-01-01,4,-5.4,85.9,0.55,,-8.5,0.0,0.0,0.0,Winter,Holiday,Yes,91.0
2023-01-01,5,-2.8,53.1,1.0,1850.0,-4.4,0.0,0.0,0.0,Winter,Holiday,Yes,67.0
2023-01-01,6,1.2,98.0,3.61,1337.0,-0.0,0.0,0.0,0.0,Winter,Holiday,Yes,140.0
2023-01-01,7,1.3,82.1,2.54,1722.0,-6.2,0.412,0.0,0.0,Winter,Holiday,Yes,182.0
2023-01-01,8,2.5,63.2,1.14,1915.0,-3.5,0.915,0.0,0.0,Winter,holiday,Yes,251.0
2023-01-01,9,1.2,51.7,1.61,1829.0,-4.1,0.991,0.0,0.0,Winter,Holiday,Yes,160.0
2023-01-01,10,4.7,62.3,0.8,,0.0,1.134,0.0,0.0,Winter,Holiday,Yes,115.0
2023-01-01,11,4.2,51.0,1.07,2000.0,-0.8,1.807,0.0,0.0,Winter,Holiday,Yes,93.0
2023-01-01,12,2.2,41.2,2.03,2000.0,-3.3,1.501,0.0,0.0,Winter,Holiday,Yes,96.0
2023-01-01,13,3.4,40.2,1.07,1927.0,-3.4,1.33,0.0,0.0,Winter,Holiday,Yes,84.0
2023-01-01,14,1.0,31.0,2.26,1888.0,-4.2,1.37,0.0,0.0,Winter,Holiday,Yes,53.0
2023-01-01,15,-2.9,34.3,0.42,2000.0,-9.2,1.006,0.0,0.0,Winter,Holiday,Yes,88.0
2023-01-01,16,-1.8,37.4,2.01,2000.0,-4.7,0.72,0.0,0.0,Winter,Holiday,Yes,194.0
2023-01-01,17,-5.7,35.1,0.61,2000.0,-13.5,0.538,0.0,2.14,Winter,Holiday,Yes,219.0
2023-01-01,18,-3.2,37.7,1.23,1978.0,-4.4,0.0,0.0,0.0,Winter,Holiday,Yes,252.0
2023-01-01,19,-6.0,53.2,0.76,2000.0,-9.7,0.0,0.0,0.0,Winter,Holiday,Yes,212.0
2023-01-01,20,-6.9,28.9,2.02,2000.0,-14.1,0.0,0.0,0.0,Winter,Holiday,Yes,171.0
2023-01-01,21,-8.3,43.1,0.46,1688.0,-10.6,0.0,0.0,0.0,Winter,Holiday,Yes,101.0
2023-01-01,22,-4.5,57.9,2.28,1955.0,-6.5,0.0,0.0,0.0,Winter,Holiday,Yes,129.0
2023-01-01,23,-7.0,56.7,1.37,1842.0,-10.5,0.0,3.68,0.0,Winter,Holiday,Yes,112.0
2023-01-02,0,-6.9,65.7,1.15,1641.0,-10.9,0.0,0.0,0.0,Winter,No Holiday,Yes,75.0
2023-01-02,1,-5.8,87.3,0.85,1593.0,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,106.0
2023-01-02,2,-3.0,76.3,0.98,1723.0,-66.30596352600315,-4.15620609566757,0.0,0.0,Winter,No Holiday,Yes,82.0
2023-01-02,3,-2.0,61.4,3.1,1686.0,-6.3,0.0,0.0,0.0,Winter,No Holiday,Yes,109.0
2023-01-02,4,-0.6,75.6,0.83,1659.0,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,
2023-01-02,5,0.7,78.9,3.12,1606.0,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes,97.0
2023-01-02,6,5.2,75.6,3.8,1778.0,-1.9,0.0,0.0,0.0,Winter,No Holiday,Yes,172.0
2023-01-02,7,1.1,76.3,1.13,1630.0,-1.6,0.36,0.0,0.0,Winter,No Holiday,Yes,173.0
2023-01-02,8,1.6,69.9,0.36,1500.0,-2.9,0.729,0.0,0.0,Winter,No Holiday,Yes,233.0
2023-01-02,9,1.3,57.5,2.62,1762.0,0.1,1.011,0.0,0.0,Winter,No Holiday,Yes,202.0
2023-01-02,10,4.2,40.5,2.6,1833.0,3.2,1.595,0.0,0.0,Winter,No Holiday,Yes,
2023-01-02,11,4.9,41.6,3.15,1779.0,-1.0,1.488,0.0,0.0,Winter,No Holiday,Yes,130.0
2023-01-02,12,1.8,34.1,1.3,2000.0,-0.0,6.1121674232849195,0.0,0.0,Winter,No Holiday,Yes,100.0
2023-01-02,13,-0.5,32.7,1.72,2000.0,-5.4,1.418,0.0,0.0,Winter,No Holiday,Yes,120.0
2023-01-02,14,-1.6,39.1,0.97,1842.0,-7.5,1.391,0.85,0.0,Winter,No Holiday,Yes,122.0
2023-01-02,15,0.1,34.3,0.94,1840.0,-1.1,1.146,0.0,0.0,Winter,No Holiday,,155.0
